# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.library.ms,1788181958716000000,1788182018927000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1788181958716000000,1788182018927000000,0
workspaceModel.global.updates.ms,1788181958716000000,1788182018927000000,26
workspaceModel.save.cache.to.file.ms,1788181958716000000,1788182018927000000,184
jps.global.get.library.by.name.ms,1788181958716000000,1788182018927000000,0
workspaceModel.global.apply.state.to.project.ms,1788181958716000000,1788182018927000000,12
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788181958716000000,1788182018927000000,32
jps.project.serializers.load.ms,1788181958716000000,1788182018927000000,116
jps.storage.jps.conf.reader.load.component.ms,1788181958716000000,1788182018927000000,7
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788181958716000000,1788182018927000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788181958716000000,1788182018927000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1788181958716000000,1788182018927000000,4
jps.load.project.to.empty.storage.ms,1788181958716000000,1788182018927000000,317
workspaceModel.global.updates.count,1788181958716000000,1788182018927000000,2
jps.facet.change.listener.before.change.events.ms,1788181958716000000,1788182018927000000,0
jps.apply.loaded.storage.ms,1788181958716000000,1788182018927000000,313
jps.module.iml.entities.serializer.load.entities.ms,1788181958716000000,1788182018927000000,61
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788181958716000000,1788182018927000000,20
jps.facet.change.listener.process.change.events.ms,1788181958716000000,1788182018927000000,1
jps.global.get.libraries.ms,1788181958716000000,1788182018927000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788181958716000000,1788182018927000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1788181958716000000,1788182018927000000,0
